Model,Activation,Optimizer,Seq Length,Grad Clipping,Accuracy,F1,Epoch Time (s),Epochs,Hardware
BILSTM,tanh,sgd,50,Yes,0.5073,0.5048,24.0,5,CPU
BILSTM,tanh,sgd,100,No,0.5014,0.5014,46.8,5,CPU
BILSTM,tanh,sgd,100,Yes,0.5014,0.5014,45.94,5,CPU
BILSTM,tanh,rmsprop,25,No,0.7127,0.7126,12.77,5,CPU
BILSTM,tanh,rmsprop,25,Yes,0.7155,0.7151,13.69,5,CPU
BILSTM,tanh,rmsprop,50,No,0.7628,0.7622,24.46,5,CPU
BILSTM,tanh,rmsprop,50,Yes,0.7613,0.759,25.06,5,CPU
BILSTM,tanh,rmsprop,100,No,0.79,0.7871,46.93,5,CPU
BILSTM,tanh,rmsprop,100,Yes,0.8027,0.8012,48.1,5,CPU
BILSTM,sigmoid,adam,25,No,0.7149,0.7144,14.66,5,CPU
BILSTM,sigmoid,adam,25,Yes,0.7157,0.714,15.23,5,CPU
BILSTM,sigmoid,adam,50,No,0.7532,0.7519,26.11,5,CPU
BILSTM,sigmoid,adam,50,Yes,0.7601,0.7587,25.92,5,CPU
BILSTM,sigmoid,adam,100,No,0.6937,0.6904,47.99,5,CPU
BILSTM,sigmoid,adam,100,Yes,0.7957,0.7948,48.18,5,CPU
BILSTM,sigmoid,sgd,25,No,0.5007,0.3336,12.43,5,CPU
BILSTM,sigmoid,sgd,25,Yes,0.5007,0.3336,12.94,5,CPU
BILSTM,sigmoid,sgd,50,No,0.4993,0.3331,23.51,5,CPU
BILSTM,sigmoid,sgd,50,Yes,0.4991,0.3332,24.07,5,CPU
BILSTM,sigmoid,sgd,100,No,0.5016,0.483,47.96,5,CPU
BILSTM,sigmoid,sgd,100,Yes,0.5035,0.4441,47.41,5,CPU
BILSTM,sigmoid,rmsprop,25,No,0.7152,0.7152,13.84,5,CPU
BILSTM,sigmoid,rmsprop,25,Yes,0.7148,0.7141,13.78,5,CPU
BILSTM,sigmoid,rmsprop,50,No,0.7488,0.7484,25.14,5,CPU
BILSTM,sigmoid,rmsprop,50,Yes,0.7609,0.7602,25.18,5,CPU
BILSTM,sigmoid,rmsprop,100,No,0.7602,0.7551,48.53,5,CPU
BILSTM,sigmoid,rmsprop,100,Yes,0.789,0.7865,48.33,5,CPU
